FirstName,LastName,Team,Position,ADP,Year,TeamPosRank,PosRank1_ADP,PosRank2_ADP,PosAmbiguity,Age,GamesPlayed,PointsPPR,PointsHalfPPR,PPG_PPR,PPG_HalfPPR,RushAtt,RushYds,RushYardsPerAtt,RushTD,Tgts,TgtsPerGame,Receptions,RecYds,YardsPerRec,RecTD
Adrian,Peterson,MIN,RB,1.5,2013,RB1,1.5,183.26,False,28,14,232.7,218.2,16.62,15.59,279,1266,4.54,10,40.0,2.86,29,171,5.9,1
Doug,Martin,TAM,RB,3.66,2013,RB1,3.66,,False,24,6,68.2,62.2,11.37,10.37,127,456,3.59,1,24.0,4.0,12,66,5.5,0
Arian,Foster,HOU,RB,4.58,2013,RB1,4.58,100.71,False,27,8,108.5,97.5,13.56,12.19,121,542,4.48,1,35.0,4.38,22,183,8.32,1
Marshawn,Lynch,SEA,RB,7.64,2013,RB1,7.64,157.24,False,27,16,275.3,257.3,17.21,16.08,301,1257,4.18,12,44.0,2.75,36,316,8.78,2
Jamaal,Charles,KAN,RB,7.92,2013,RB1,7.92,177.17,False,27,15,378.0,343.0,25.2,22.87,259,1287,4.97,12,104.0,6.93,70,693,9.9,7
Ray,Rice,BAL,RB,8.7,2013,RB1,8.7,130.8,False,26,15,178.1,149.1,11.87,9.94,214,660,3.08,4,72.0,4.8,58,321,5.53,0
Calvin,Johnson,DET,WR,8.99,2013,WR1,8.99,152.93,False,28,14,303.2,261.2,21.66,18.66,0,0,,0,156.0,11.14,84,1492,17.76,12
CJ,Spiller,BUF,RB,9.31,2013,RB1,9.31,131.07,False,26,15,154.8,138.3,10.32,9.22,202,933,4.62,2,41.0,2.73,33,185,5.61,0
LeSean,McCoy,PHI,RB,11.0,2013,RB1,11.0,127.37,False,25,16,330.6,304.6,20.66,19.04,314,1607,5.12,9,64.0,4.0,52,539,10.37,2
Alfred,Morris,WAS,RB,13.93,2013,RB1,13.93,164.92,False,25,16,178.3,173.8,11.14,10.86,276,1275,4.62,7,12.0,0.75,9,78,8.67,0
Matt,Forte,CHI,RB,17.02,2013,RB1,17.02,151.77,False,28,16,337.3,300.3,21.08,18.77,289,1339,4.63,9,95.0,5.94,74,594,8.03,3
