FirstName,LastName,DraftYear,DraftRnd,DraftPick,DraftTm,Pos,DraftAge,College/Univ
Peter,Warrick,2000,1,4,CIN,WR,23.0,Florida St.
Jamal,Lewis,2000,1,5,BAL,RB,21.0,Tennessee
Thomas,Jones,2000,1,7,ARI,RB,22.0,Virginia
Plaxico,Burress,2000,1,8,PIT,WR,23.0,Michigan St.
Travis,Taylor,2000,1,10,BAL,WR,22.0,Florida
Ron,Dayne,2000,1,11,NYG,RB,22.0,Wisconsin
Chad,Pennington,2000,1,18,NYJ,QB,24.0,Marshall
Shaun,Alexander,2000,1,19,SEA,RB,23.0,Alabama
Sylvester,Morris,2000,1,21,KAN,WR,22.0,Jackson St.
R,Jay Soward,2000,1,29,JAX,WR,22.0,USC
Trung,Canidate,2000,1,31,STL,RB,23.0,Arizona
Dennis,Northcutt,2000,2,32,CLE,WR,22.0,Arizona
Todd,Pinkston,2000,2,36,PHI,WR,23.0,Southern Miss
Jerry,Porter,2000,2,47,OAK,WR,22.0,West Virginia
Travis,Prentice,2000,3,63,CLE,RB,23.0,Miami (OH)
Giovanni,Carmazzi,2000,3,65,SFO,QB,,Hofstra
Ron,Dugans,2000,3,66,CIN,WR,23.0,Florida St.
Dez,White,2000,3,69,CHI,WR,21.0,Georgia Tech
Chris,Cole,2000,3,70,DEN,WR,22.0,Texas A&M
Ron,Dixon,2000,3,73,NYG,WR,24.0,Lambuth
Chris,Redman,2000,3,75,BAL,QB,23.0,Louisville
JR,Redmond,2000,3,76,NWE,RB,22.0,Arizona St.
Laveranues,Coles,2000,3,78,NYJ,WR,22.0,Florida St.
JaJuan,Dawson,2000,3,79,CLE,WR,22.0,Tulane
Darrell,Jackson,2000,3,80,SEA,WR,21.0,Florida
Reuben,Droughns,2000,3,81,DET,RB,22.0,Oregon
Doug,Chapman,2000,3,88,MIN,RB,23.0,Marshall
Curtis,Keaton,2000,4,97,CIN,RB,23.0,James Madison
Gari,Scott,2000,4,99,PHI,WR,22.0,Michigan St.
Danny,Farmer,2000,4,103,PIT,WR,23.0,UCLA
Trevor,Gaylor,2000,4,111,SDG,WR,22.0,Miami (OH)
Anthony,Lucas,2000,4,114,GNB,WR,,Arkansas
Frank,Moreau,2000,4,115,KAN,RB,23.0,Louisville
Avion,Black,2000,4,121,BUF,WR,23.0,Tennessee St.
Paul,Smith,2000,5,132,SFO,RB,22.0,Texas-El Paso
Windrell,Hayes,2000,5,143,NYJ,WR,23.0,USC
Michael,Wiley,2000,5,144,DAL,RB,22.0,Ohio St.
Joey,Jamison,2000,5,151,GNB,WR,,Texas Southern
Dante,Hall,2000,5,153,KAN,WR,21.0,Texas A&M
Muneer,Moore,2000,5,154,DEN,WR,,Richmond
Sammy,Morris,2000,5,156,BUF,RB,23.0,Texas Tech
Tee,Martin,2000,5,163,PIT,QB,22.0,Tennessee
Troy,Walters,2000,5,165,MIN,WR,23.0,Stanford
Chad,Morton,2000,5,166,NOR,RB,23.0,USC
Marc,Bulger,2000,6,168,NOR,QB,23.0,West Virginia
Frank,Murphy,2000,6,170,CHI,WR,23.0,Kansas St.
Thomas,Hamner,2000,6,171,PHI,RB,,Minnesota
Mareno,Philyaw,2000,6,172,ATL,WR,22.0,Troy
James,Williams,2000,6,175,SEA,WR,22.0,Marshall
Spergon,Wynn,2000,6,183,CLE,QB,22.0,Texas St.
Mike,Anderson,2000,6,189,DEN,RB,26.0,Utah
Emanuel,Smith,2000,6,196,JAX,WR,24.0,Arkansas
Tom,Brady,2000,6,199,NWE,QB,23.0,Michigan
Sherrod,Gideon,2000,6,200,NOR,WR,,Southern Miss
Todd,Husak,2000,6,202,WAS,QB,22.0,Stanford
JaJuan,Seider,2000,6,205,SDG,QB,,Florida A&M
Desmond,Kitchings,2000,7,208,KAN,WR,,Furman
Tim,Rattay,2000,7,212,SFO,QB,23.0,Louisiana Tech
Mike,Green,2000,7,213,TEN,RB,24.0,Houston
Jarious,Jackson,2000,7,214,DEN,QB,23.0,Notre Dame
