Rank,FirstName,LastName,Team,Position,ADP,Year,TeamPosRank,PosRank1_ADP,PosRank2_ADP,PosAmbiguity
1,Adrian,Peterson,MIN,RB,1.5,2013,RB1,1.5,183.26,False
2,Doug,Martin,TBB,RB,3.66,2013,RB1,3.66,,False
3,Arian,Foster,HOU,RB,4.58,2013,RB1,4.58,100.71,False
4,Marshawn,Lynch,SEA,RB,7.64,2013,RB1,7.64,157.24,False
5,Jamaal,Charles,KCC,RB,7.92,2013,RB1,7.92,177.17,False
6,Ray,Rice,BAL,RB,8.7,2013,RB1,8.7,130.8,False
7,Calvin,Johnson,DET,WR,8.99,2013,WR1,8.99,152.93,False
8,CJ,Spiller,BUF,RB,9.31,2013,RB1,9.31,131.07,False
9,Trent,Richardson,IND,RB,10.2,2013,RB1,10.2,78.73,False
10,LeSean,McCoy,PHI,RB,11.0,2013,RB1,11.0,127.37,False
11,Alfred,Morris,WAS,RB,13.93,2013,RB1,13.93,164.92,False
12,Matt,Forte,CHI,RB,17.02,2013,RB1,17.02,151.77,False
13,AJ,Green,CIN,WR,17.41,2013,WR1,17.41,164.7,False
14,Dez,Bryant,DAL,WR,17.78,2013,WR1,17.78,88.37,False
15,Chris,Johnson,TEN,RB,21.51,2013,RB1,21.51,158.92,False
16,Steven,Jackson,ATL,RB,21.72,2013,RB1,21.72,143.75,False
17,Julio,Jones,ATL,WR,21.83,2013,WR1,21.83,34.02,False
18,Brandon,Marshall,CHI,WR,22.96,2013,WR1,22.96,131.71,False
19,Jimmy,Graham,NOS,TE,24.33,2013,TE1,24.33,,False
20,Demaryius,Thomas,DEN,WR,24.84,2013,WR1,24.84,42.75,False
21,Stevan,Ridley,NEP,RB,27.29,2013,RB1,27.29,91.13,False
22,Maurice,JonesDrew,JAC,RB,27.45,2013,RB1,27.45,189.94,False
23,Larry,Fitzgerald,ARI,WR,29.91,2013,WR1,29.91,127.07,False
24,Reggie,Bush,DET,RB,31.18,2013,RB1,31.18,146.47,False
25,Andre,Johnson,HOU,WR,31.26,2013,WR1,31.26,121.53,False
26,Frank,Gore,SFO,RB,32.83,2013,RB1,32.83,165.84,False
27,Randall,Cobb,GBP,WR,33.23,2013,WR1,33.23,55.84,False
28,Roddy,White,ATL,WR,34.02,2013,WR2,21.83,34.02,False
29,David,Wilson,NYG,RB,36.24,2013,RB1,36.24,113.89,False
30,Victor,Cruz,NYG,WR,36.26,2013,WR1,36.26,57.44,True
31,DeMarco,Murray,DAL,RB,36.73,2013,RB1,36.73,173.21,False
32,Vincent,Jackson,TBB,WR,40.02,2013,WR1,40.02,99.43,True
33,Wes,Welker,DEN,WR,42.75,2013,WR2,24.84,42.75,False
34,Marques,Colston,NOS,WR,45.05,2013,WR1,45.05,105.62,True
35,Darren,McFadden,OAK,RB,45.96,2013,RB1,45.96,191.57,False
36,Darren,Sproles,NOS,RB,46.78,2013,RB1,46.78,97.24,True
37,Dwayne,Bowe,KCC,WR,48.27,2013,WR1,48.27,200.97,False
38,Eddie,Lacy,GBP,RB,49.06,2013,RB1,49.06,160.06,False
39,Rob,Gronkowski,NEP,TE,49.34,2013,TE1,49.34,,False
40,Danny,Amendola,NEP,WR,49.89,2013,WR1,49.89,118.1,False
41,Reggie,Wayne,IND,WR,50.59,2013,WR1,50.59,77.35,True
42,Lamar,Miller,MIA,RB,52.37,2013,RB1,52.37,173.45,False
43,Jordy,Nelson,GBP,WR,55.84,2013,WR2,33.23,55.84,False
44,Hakeem,Nicks,NYG,WR,57.44,2013,WR2,36.26,57.44,True
45,Torrey,Smith,BAL,WR,57.86,2013,WR1,57.86,171.15,False
46,Jason,Witten,DAL,TE,59.96,2013,TE1,59.96,,False
47,Pierre,Garcon,WAS,WR,60.56,2013,WR1,60.56,177.03,False
48,Eric,Decker,DEN,WR,60.85,2013,WR3,24.84,42.75,False
49,Vernon,Davis,SFO,TE,60.92,2013,TE1,60.92,,False
50,Montee,Ball,DEN,RB,62.24,2013,RB1,62.24,124.89,False
51,Ryan,Mathews,SDC,RB,63.27,2013,RB1,63.27,140.72,False
52,Antonio,Brown,PIT,WR,64.37,2013,WR1,64.37,128.59,False
53,Mike,Wallace,MIA,WR,64.45,2013,WR1,64.45,153.83,False
54,Tony,Gonzalez,ATL,TE,64.46,2013,TE1,64.46,,False
55,DeSean,Jackson,PHI,WR,69.58,2013,WR1,69.58,191.66,False
56,Giovani,Bernard,CIN,RB,70.16,2013,RB1,70.16,89.44,True
57,Steve,Smith,CAR,WR,70.81,2013,WR1,70.81,167.16,False
58,James,Jones,GBP,WR,72.42,2013,WR3,33.23,55.84,False
59,TY,Hilton,IND,WR,77.35,2013,WR2,50.59,77.35,True
60,Ahmad,Bradshaw,IND,RB,78.73,2013,RB2,10.2,78.73,False
61,Daryl,Richardson,STL,RB,78.88,2013,RB1,78.88,152.65,False
62,Chris,Ivory,NYJ,RB,80.59,2013,RB1,80.59,160.6,False
63,LeVeon,Bell,PIT,RB,83.64,2013,RB1,83.64,152.33,False
64,Tavon,Austin,STL,WR,84.22,2013,WR1,84.22,118.06,False
65,Jermichael,Finley,GBP,TE,84.76,2013,TE1,84.76,,False
66,Rashard,Mendenhall,ARI,RB,85.7,2013,RB1,85.7,178.98,False
67,Greg,Jennings,MIN,WR,87.12,2013,WR1,87.12,144.59,False
68,Miles,Austin,DAL,WR,88.37,2013,WR2,17.78,88.37,False
69,Cecil,Shorts,JAC,WR,88.54,2013,WR1,88.54,123.17,False
70,Anquan,Boldin,SFO,WR,88.73,2013,WR1,88.73,193.22,False
71,Steve,Johnson,BUF,WR,89.06,2013,WR1,89.06,181.69,False
72,DeAngelo,Williams,CAR,RB,89.23,2013,RB1,89.23,135.03,False
73,BenJarvus,GreenEllis,CIN,RB,89.44,2013,RB2,70.16,89.44,True
74,Kyle,Rudolph,MIN,TE,90.4,2013,TE1,90.4,,False
75,Shane,Vereen,NEP,RB,91.13,2013,RB2,27.29,91.13,False
76,Greg,Olsen,CAR,TE,95.57,2013,TE1,95.57,,False
77,Mark,Ingram,NOS,RB,97.24,2013,RB2,46.78,97.24,True
78,Mike,Williams,TBB,WR,99.43,2013,WR2,40.02,99.43,True
79,Josh,Gordon,CLE,WR,100.39,2013,WR1,100.39,169.57,False
80,Ben,Tate,HOU,RB,100.71,2013,RB2,4.58,100.71,False
81,Antonio,Gates,SDC,TE,104.04,2013,TE1,104.04,,False
82,Owen,Daniels,HOU,TE,105.18,2013,TE1,105.18,,False
83,Lance,Moore,NOS,WR,105.62,2013,WR2,45.05,105.62,True
84,Kenny,Britt,TEN,WR,105.65,2013,WR1,105.65,151.96,False
85,Jared,Cook,STL,TE,107.02,2013,TE1,107.02,,False
86,Andre,Brown,NYG,RB,113.89,2013,RB2,36.24,113.89,False
87,Golden,Tate,SEA,WR,115.49,2013,WR1,115.49,119.49,False
88,Chris,Givens,STL,WR,118.06,2013,WR2,84.22,118.06,False
89,Kenbrell,Thompkins,NEP,WR,118.1,2013,WR2,49.89,118.1,False
90,Vick,Ballard,IND,RB,119.07,2013,RB3,10.2,78.73,False
91,Sidney,Rice,SEA,WR,119.49,2013,WR2,115.49,119.49,False
92,DeAndre,Hopkins,HOU,WR,121.53,2013,WR2,31.26,121.53,False
93,Justin,Blackmon,JAC,WR,123.17,2013,WR2,88.54,123.17,False
94,Vincent,Brown,SDC,WR,124.11,2013,WR1,124.11,162.1,False
95,Jordan,Cameron,CLE,TE,124.18,2013,TE1,124.18,,False
96,Ronnie,Hillman,DEN,RB,124.89,2013,RB2,62.24,124.89,False
97,Michael,Floyd,ARI,WR,127.07,2013,WR2,29.91,127.07,False
98,Bryce,Brown,PHI,RB,127.37,2013,RB2,11.0,127.37,False
99,Emmanuel,Sanders,PIT,WR,128.59,2013,WR2,64.37,128.59,False
100,Bernard,Pierce,BAL,RB,130.8,2013,RB2,8.7,130.8,False
101,Fred,Jackson,BUF,RB,131.07,2013,RB2,9.31,131.07,False
102,Alshon,Jeffery,CHI,WR,131.71,2013,WR2,22.96,131.71,False
103,Martellus,Bennett,CHI,TE,133.6,2013,TE1,133.6,,False
104,Jonathan,Stewart,CAR,RB,135.03,2013,RB2,89.23,135.03,False
105,Brandon,Pettigrew,DET,TE,136.04,2013,TE1,136.04,,False
106,Denarius,Moore,OAK,WR,136.48,2013,WR1,136.48,196.79,False
107,Brandon,Myers,NYG,TE,136.98,2013,TE1,136.98,,False
108,Zach,Sudfeld,NYJ,TE,139.18,2013,TE1,139.18,,False
109,Danny,Woodhead,SDC,RB,140.72,2013,RB2,63.27,140.72,False
111,Fred,Davis,WAS,TE,142.52,2013,TE1,142.52,,False
112,Jacquizz,Rodgers,ATL,RB,143.75,2013,RB2,21.72,143.75,False
113,Pierre,Thomas,NOS,RB,144.17,2013,RB3,46.78,97.24,True
114,Cordarrelle,Patterson,MIN,WR,144.59,2013,WR2,87.12,144.59,False
115,Jermaine,Gresham,CIN,TE,145.15,2013,TE1,145.15,154.23,False
116,Mikel,Leshoure,DET,RB,146.47,2013,RB2,31.18,146.47,False
