FirstName,LastName,PlayerID,Position,Year,FantasyPointsHalfPointPpr,FantasyPointsPerGameHalfPointPPR,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Receptions,ReceivingTargets,ReceivingYards,ReceptionPercentage,ReceivingTouchdowns,ReceivingYardsPerTarget,ReceivingYardsPerReception
Jamaal,Charles,7969,RB,2013,343.0,22.9,15,259.0,1287.0,5.0,12.0,70.0,104.0,693.0,67.3,7.0,6.7,9.9
LeSean,McCoy,11932,RB,2013,304.6,19.0,16,314.0,1607.0,5.1,9.0,52.0,64.0,539.0,81.2,2.0,8.4,10.4
Matt,Forte,2699,RB,2013,300.8,18.8,16,288.0,1341.0,4.7,9.0,75.0,95.0,592.0,78.9,3.0,6.2,7.9
Marshawn,Lynch,12386,RB,2013,257.3,16.1,16,301.0,1257.0,4.2,12.0,36.0,44.0,316.0,81.8,2.0,7.2,8.8
Knowshon,Moreno,8699,RB,2013,266.6,16.7,16,241.0,1038.0,4.3,10.0,60.0,74.0,548.0,81.1,3.0,7.4,9.1
Josh,Gordon,14587,WR,2013,270.9,19.4,14,5.0,88.0,17.6,0.0,87.0,159.0,1646.0,54.7,9.0,10.4,18.9
Demaryius,Thomas,11197,WR,2013,273.0,17.1,16,0.0,0.0,0.0,0.0,92.0,142.0,1430.0,64.8,14.0,10.1,15.5
Calvin,Johnson,6029,WR,2013,261.2,18.7,14,0.0,0.0,0.0,0.0,84.0,156.0,1492.0,53.8,12.0,9.6,17.8
Jimmy,Graham,11488,TE,2013,260.5,16.3,16,0.0,0.0,0.0,0.0,86.0,142.0,1215.0,60.6,16.0,8.6,14.1
AJ,Green,12845,WR,2013,257.6,16.1,16,0.0,0.0,0.0,0.0,98.0,178.0,1426.0,55.1,11.0,8.0,14.6
Eddie,Lacy,15138,RB,2013,225.0,15.0,15,284.0,1178.0,4.1,11.0,35.0,44.0,257.0,79.5,0.0,5.8,7.3
Brandon,Marshall,11667,WR,2013,255.5,16.0,16,0.0,0.0,0.0,0.0,100.0,164.0,1295.0,61.0,12.0,7.9,13.0
