FirstName,LastName,Team,Position,ADP,Year
Eddie,Lacy,GNB,RB,49.06,2013
Montee,Ball,DEN,RB,62.24,2013
Giovani,Bernard,CIN,RB,70.16,2013
LeVeon,Bell,PIT,RB,83.64,2013
Tavon,Austin,STL,WR,84.22,2013
Kenbrell,Thompkins,NWE,WR,118.1,2013
DeAndre,Hopkins,HOU,WR,121.53,2013
Zach,Sudfeld,NYJ,TE,139.18,2013
Cordarrelle,Patterson,MIN,WR,144.59,2013
Tyler,Eifert,CIN,TE,154.23,2013
Christine,Michael,SEA,RB,157.24,2013
Johnathan,Franklin,GNB,RB,160.06,2013
Bishop,Sankey,TEN,RB,67.0,2014
Sammy,Watkins,BUF,WR,84.66,2014
Brandin,Cooks,NOR,WR,92.3,2014
Mike,Evans,TAM,WR,107.11,2014
Kelvin,Benjamin,CAR,WR,107.31,2014
Carlos,Hyde,SFO,RB,109.17,2014
Devonta,Freeman,ATL,RB,124.68,2014
Jeremy,Hill,CIN,RB,126.51,2014
Terrance,West,CLE,RB,136.35,2014
Eric,Ebron,DET,TE,137.01,2014
Andre,Williams,NYG,RB,138.86,2014
Jordan,Matthews,PHI,WR,142.77,2014
Tre,Mason,STL,RB,161.96,2014
Melvin,Gordon,SDG,RB,36.72,2015
Amari,Cooper,OAK,WR,45.54,2015
Todd,Gurley,STL,RB,48.41,2015
Ameer,Abdullah,DET,RB,56.13,2015
TJ,Yeldon,JAX,RB,63.38,2015
Nelson,Agholor,PHI,WR,76.35,2015
Tevin,Coleman,ATL,RB,92.46,2015
Devin,Funchess,CAR,WR,118.09,2015
Duke,Johnson,CLE,RB,120.64,2015
Kevin,White,CHI,WR,121.58,2015
DeVante,Parker,MIA,WR,123.74,2015
David,Cobb,TEN,RB,133.65,2015
Breshad,Perriman,BAL,WR,135.71,2015
David,Johnson,ARI,RB,142.99,2015
Dorial,GreenBeckham,TEN,WR,144.79,2015
Tyler,Lockett,SEA,WR,145.04,2015
Phillip,Dorsett,IND,WR,154.54,2015
Ezekiel,Elliott,DAL,RB,7.27,2016
Derrick,Henry,TEN,RB,92.16,2016
Sterling,Shepard,NYG,WR,102.76,2016
Corey,Coleman,CLE,WR,122.78,2016
Michael,Thomas,NOR,WR,132.55,2016
Laquon,Treadwell,MIN,WR,136.76,2016
Devontae,Booker,DEN,RB,141.8,2016
DeAndre,Washington,OAK,RB,146.16,2016
Tyler,Boyd,CIN,WR,154.05,2016
Tajae,Sharpe,TEN,WR,154.25,2016
Will,Fuller,HOU,WR,154.56,2016
Kenneth,Dixon,BAL,RB,163.7,2016
CJ,Prosise,SEA,RB,164.18,2016
Leonard,Fournette,JAX,RB,24.71,2017
Christian,McCaffrey,CAR,RB,29.3,2017
Dalvin,Cook,MIN,RB,34.44,2017
Joe,Mixon,CIN,RB,45.05,2017
Kareem,Hunt,KAN,RB,58.87,2017
Corey,Davis,TEN,WR,116.97,2017
Samaje,Perine,WAS,RB,127.23,2017
OJ,Howard,TAM,TE,128.81,2017
Jamaal,Williams,GNB,RB,135.95,2017
Zay,Jones,BUF,WR,146.76,2017
Evan,Engram,NYG,TE,147.71,2017
Alvin,Kamara,NOR,RB,149.41,2017
Marlon,Mack,IND,RB,154.85,2017
Cooper,Kupp,LAR,WR,155.26,2017
