Rank,FirstName,LastName,Team,Position,ADP,Year,TeamPosRank,PosRank1_ADP,PosRank2_ADP,PosAmbiguity,PlayerID,FantasyPointsHalfPointPpr,FantasyPointsPerGameHalfPointPPR,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Receptions,ReceivingTargets,ReceivingYards,ReceptionPercentage,ReceivingTouchdowns,ReceivingYardsPerTarget,ReceivingYardsPerReception
1,Adrian,Peterson,MIN,RB,1.5,2013,RB1,1.5,183.26,False,4807,218.2,15.6,14,279.0,1266.0,4.5,10.0,29.0,40.0,171.0,72.5,1.0,4.3,5.9
2,Doug,Martin,TBB,RB,3.66,2013,RB1,3.66,,False,14385,62.2,10.4,6,127.0,456.0,3.6,1.0,12.0,24.0,66.0,50.0,0.0,2.8,5.5
3,Arian,Foster,HOU,RB,4.58,2013,RB1,4.58,100.71,False,11792,97.5,12.2,8,121.0,542.0,4.5,1.0,22.0,35.0,183.0,62.9,1.0,5.2,8.3
4,Marshawn,Lynch,SEA,RB,7.64,2013,RB1,7.64,157.24,False,12386,257.3,16.1,16,301.0,1257.0,4.2,12.0,36.0,44.0,316.0,81.8,2.0,7.2,8.8
5,Jamaal,Charles,KCC,RB,7.92,2013,RB1,7.92,177.17,False,7969,343.0,22.9,15,259.0,1287.0,5.0,12.0,70.0,104.0,693.0,67.3,7.0,6.7,9.9
6,Ray,Rice,BAL,RB,8.7,2013,RB1,8.7,130.8,False,547,149.1,9.9,15,214.0,660.0,3.1,4.0,58.0,73.0,321.0,79.5,0.0,4.4,5.5
7,Calvin,Johnson,DET,WR,8.99,2013,WR1,8.99,152.93,False,6029,261.2,18.7,14,0.0,0.0,0.0,0.0,84.0,156.0,1492.0,53.8,12.0,9.6,17.8
8,CJ,Spiller,BUF,RB,9.31,2013,RB1,9.31,131.07,False,10949,139.4,9.3,15,201.0,927.0,4.6,2.0,34.0,41.0,197.0,82.9,0.0,4.8,5.8
9,Trent,Richardson,IND,RB,10.2,2013,RB1,10.2,78.73,False,13902,127.4,8.0,16,188.0,563.0,3.0,3.0,35.0,52.0,316.0,67.3,1.0,6.1,9.0
10,LeSean,McCoy,PHI,RB,11.0,2013,RB1,11.0,127.37,False,11932,304.6,19.0,16,314.0,1607.0,5.1,9.0,52.0,64.0,539.0,81.2,2.0,8.4,10.4
